pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
Kepler-1324 b,Kepler-1324,1,1,Transit,2016,Kepler,0,4.11584468,0.00000855,-0.00000855,0,0.046600,,,0,1.510,0.080,-0.090,0,0.135,0.007,-0.008,0,2.89000,,,0,0.00909,,,0,M-R relationship,0.000000,,,0,98.41,3.71,-3.54,0,895,,,0,0,,4776.00,54.15,-70.56,0,0.73,0.02,-0.03,0,0.78,0.03,-0.04,0,0.050,0.152,-0.176,0,[Fe/H],4.61,0.02,-0.03,0,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000,6.3530000,-6.3530000,15.5540000,0.0350000,-0.0350000,12.8340000,0.0280000,-0.0280000,15.1336000,0.0004280,-0.0004280
Kepler-1325 b,Kepler-1325,1,1,Transit,2016,Kepler,0,33.87868380,0.00023340,-0.00023340,0,0.200400,,,0,2.860,0.400,-0.470,0,0.255,0.036,-0.042,0,8.55000,,,0,0.02690,,,0,M-R relationship,0.000000,,,0,18.15,1.12,-1.05,0,564,,,0,0,,5550.00,82.37,-93.24,0,0.91,0.13,-0.06,0,0.93,0.04,-0.05,0,0.010,0.126,-0.178,0,[Fe/H],4.50,0.05,-0.12,0,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000,21.5905000,-21.5905000,15.3110000,0.1150000,-0.1150000,13.4570000,0.0440000,-0.0440000,15.1289000,0.0003510,-0.0003510
Kepler-1326 b,Kepler-1326,1,1,Transit,2016,Kepler,0,42.35142670,0.00013720,-0.00013720,0,0.274300,,,0,4.180,1.510,-0.760,0,0.373,0.135,-0.068,0,16.30000,,,0,0.05120,,,0,M-R relationship,0.000000,,,0,47.84,2.41,-2.27,0,938,,,0,0,,6725.00,280.90,-196.41,0,1.74,0.63,-0.32,0,1.45,0.21,-0.16,0,0.020,0.129,-0.168,0,[Fe/H],4.12,0.13,-0.21,0,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000,16.2435000,-16.2435000,12.8420000,0.1260000,-0.1260000,11.7000000,0.0170000,-0.0170000,12.7411000,0.0002340,-0.0002340
Kepler-1327 b,Kepler-1327,1,1,Transit,2016,Kepler,0,14.88801098,0.00008768,-0.00008768,0,0.118600,,,0,1.800,0.580,-0.200,0,0.161,0.052,-0.018,0,3.89000,,,0,0.01230,,,0,M-R relationship,0.000000,,,0,112.85,101.75,-44.05,0,831,,,0,0,,5885.00,115.84,-121.67,0,1.03,0.25,-0.11,0,1.02,0.07,-0.07,0,-0.030,0.146,-0.200,0,[Fe/H],4.42,0.07,-0.17,0,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000,5.7465000,-5.7465000,13.9660000,0.1500000,-0.1500000,12.3740000,,,13.8837000,0.0002180,-0.0002180
Kepler-1328 b,Kepler-1328,1,1,Transit,2016,Kepler,0,4.52158888,0.00002184,-0.00002184,0,0.052900,,,0,0.980,0.200,-0.090,0,0.087,0.018,-0.008,0,0.90400,,,0,0.00284,,,0,M-R relationship,0.000000,,,0,545.67,18.85,-18.25,0,1214,,,0,0,,5780.00,91.61,-90.02,0,0.99,0.20,-0.09,0,1.00,0.06,-0.06,0,0.000,0.131,-0.177,0,[Fe/H],4.44,0.07,-0.15,0,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000,10.8710000,-10.8710000,13.9690000,0.1140000,-0.1140000,12.3050000,0.0230000,-0.0230000,13.8033000,0.0002360,-0.0002360
Kepler-1329 b,Kepler-1329,1,1,Transit,2016,Kepler,0,9.33646594,0.00003106,-0.00003106,0,0.074700,,,0,2.170,0.060,-0.160,0,0.194,0.005,-0.014,0,5.35000,,,0,0.01680,,,0,M-R relationship,0.000000,,,0,26.64,1.57,-1.47,0,577,,,0,0,,4500.00,38.73,-38.83,0,0.69,0.02,-0.02,0,0.72,0.02,-0.02,0,0.020,0.123,-0.107,0,[Fe/H],4.62,0.02,-0.03,0,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000,11.9460000,-11.9460000,15.9580000,1.1330000,-1.1330000,13.4350000,0.0440000,-0.0440000,15.8498000,0.0007100,-0.0007100
Kepler-133 b,Kepler-133,1,2,Transit,2014,Kepler,0,8.12997600,0.00003800,-0.00003800,0,0.083000,,,0,1.760,0.300,-0.300,0,0.157,0.027,-0.027,0,3.75000,,,0,0.01180,,,0,M-R relationship,0.000000,,,0,408.58,25.49,-23.63,0,1041,,,0,0,,5736.00,100.00,-100.00,0,1.43,0.24,-0.24,0,1.02,0.05,-0.05,0,0.282,0.019,-0.019,0,[M/H],4.19,0.15,-0.15,0,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000,19.1930000,-19.1930000,12.8960000,0.0690000,-0.0690000,11.3200000,0.0160000,-0.0160000,12.8415000,0.0002080,-0.0002080
Kepler-133 c,Kepler-133,1,2,Transit,2014,Kepler,0,31.51758600,0.00015800,-0.00015800,0,0.204000,,,0,2.840,0.480,-0.480,0,0.253,0.043,-0.043,0,8.45000,,,0,0.02660,,,0,M-R relationship,0.000000,,,0,67.16,4.19,-3.88,0,663,,,0,0,,5736.00,100.00,-100.00,0,1.43,0.24,-0.24,0,1.02,0.05,-0.05,0,0.282,0.019,-0.019,0,[M/H],4.19,0.15,-0.15,0,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000,19.1930000,-19.1930000,12.8960000,0.0690000,-0.0690000,11.3200000,0.0160000,-0.0160000,12.8415000,0.0002080,-0.0002080
Kepler-1330 b,Kepler-1330,1,1,Transit,2016,Kepler,0,10.10769068,0.00004951,-0.00004951,0,0.088900,,,0,1.650,0.400,-0.130,0,0.147,0.036,-0.012,0,3.36000,,,0,0.01060,,,0,M-R relationship,0.000000,,,0,322.40,28.91,-26.08,0,879,,,0,0,,5608.00,83.00,-112.79,0,0.94,0.23,-0.07,0,0.97,0.05,-0.05,0,0.080,0.139,-0.151,0,[Fe/H],4.48,0.06,-0.18,0,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000,66.3700000,-66.3700000,15.0760000,0.0690000,-0.0690000,13.3020000,0.0410000,-0.0410000,14.9451000,0.0003080,-0.0003080
Kepler-1331 b,Kepler-1331,1,1,Transit,2016,Kepler,0,0.78916165,0.00000121,-0.00000121,0,0.014200,,,0,1.050,0.090,-0.080,0,0.094,0.008,-0.007,0,1.16000,,,0,0.00364,,,0,M-R relationship,0.000000,,,0,547.29,14.15,-13.77,0,1244,,,0,0,,4508.00,243.21,-204.59,0,0.69,0.05,-0.04,0,0.72,0.05,-0.05,0,0.050,0.155,-0.160,0,[Fe/H],4.63,0.03,-0.03,0,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000,2.5930000,-2.5930000,15.5800000,0.1830000,-0.1830000,12.3180000,0.0210000,-0.0210000,15.0318000,0.0004070,-0.0004070
Kepler-1332 b,Kepler-1332,1,1,Transit,2016,Kepler,0,11.87456832,0.00003749,-0.00003749,0,0.098600,,,0,1.370,0.090,-0.050,0,0.122,0.008,-0.004,0,2.45000,,,0,0.00771,,,0,M-R relationship,0.000000,,,0,77.56,1.87,-1.82,0,728,,,0,0,,5581.00,83.36,-69.91,0,0.90,0.04,-0.03,0,0.95,0.03,-0.04,0,0.000,0.098,-0.100,0,[Fe/H],4.51,0.03,-0.03,0,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000,4.2090000,-4.2090000,13.9750000,0.1030000,-0.1030000,12.1220000,0.0190000,-0.0190000,13.7950000,0.0002930,-0.0002930
Kepler-1333 b,Kepler-1333,1,1,Transit,2016,Kepler,0,109.64718420,0.00070770,-0.00070770,0,0.438200,,,0,2.810,0.400,-0.250,0,0.251,0.036,-0.022,0,8.30000,,,0,0.02610,,,0,M-R relationship,0.000000,,,0,3.30,0.26,-0.24,0,428,,,0,0,,5628.00,142.84,-162.16,0,0.92,0.13,-0.08,0,0.94,0.06,-0.06,0,-0.040,0.150,-0.187,0,[Fe/H],4.49,0.06,-0.12,0,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000,30.4685000,-30.4685000,15.4210000,0.1030000,-0.1030000,13.4060000,0.0420000,-0.0420000,15.1714000,0.0005830,-0.0005830
Kepler-1334 b,Kepler-1334,1,1,Transit,2016,Kepler,0,15.64591713,0.00007265,-0.00007265,0,0.122900,,,0,2.290,0.310,-0.180,0,0.204,0.028,-0.016,0,5.86000,,,0,0.01840,,,0,M-R relationship,0.000000,,,0,78.36,5.52,-5.10,0,710,,,0,0,,5614.00,91.79,-87.50,0,0.91,0.12,-0.06,0,0.94,0.04,-0.05,0,-0.030,0.139,-0.175,0,[Fe/H],4.50,0.05,-0.12,0,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000,33.2350000,-33.2350000,15.4610000,0.0690000,-0.0690000,13.6260000,0.0450000,-0.0450000,15.1710000,0.0003260,-0.0003260
Kepler-1335 b,Kepler-1335,1,1,Transit,2016,Kepler,0,6.26406846,0.00002706,-0.00002706,0,0.061500,,,0,1.450,0.100,-0.090,0,0.129,0.009,-0.008,0,2.70000,,,0,0.00849,,,0,M-R relationship,0.000000,,,0,80.74,3.58,-3.40,0,809,,,0,0,,4903.00,66.92,-62.59,0,0.74,0.03,-0.04,0,0.77,0.04,-0.04,0,-0.070,0.156,-0.178,0,[Fe/H],4.60,0.03,-0.04,0,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000,9.4235000,-9.4235000,15.2480000,0.1150000,-0.1150000,13.1340000,0.0340000,-0.0340000,15.3037000,0.0004940,-0.0004940
Kepler-1336 b,Kepler-1336,1,2,Transit,2016,Kepler,0,23.19868100,0.00025460,-0.00025460,0,0.159500,,,0,1.980,0.300,-0.400,0,0.177,0.027,-0.036,0,4.58000,,,0,0.01440,,,0,M-R relationship,0.000000,,,0,103.72,4.72,-4.49,0,793,,,0,0,,5512.00,86.32,-66.78,0,1.30,0.19,-0.26,0,0.94,0.05,-0.04,0,0.050,0.082,-0.050,0,[Fe/H],4.18,0.17,-0.10,0,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000,22.8400000,-22.8400000,14.2640000,0.1030000,-0.1030000,12.3660000,0.0200000,-0.0200000,14.0381000,0.0002300,-0.0002300
